Column,NCT00104715_Gravis_GETUG_EU'15,NCT00268476_Attard_STAMPEDE_Lancet'23,NCT00268476_James_STAMPEDE_IJC'22,NCT00309985_Kriayako_CHAARTED_JCO'18,NCT00309985_Sweeney_CHAARTED_NEJM'15,NCT02799602_Hussain_ARASENS_JCO'23
Median PFS (mo) | Low volume | Treatment,0.75,1.0,1.0,1.0,,
Median PFS (mo) | Overall | Control,0.0,1.0,1.0,1.0,,
Median PFS (mo) | Overall | Treatment,1.0,1.0,1.0,1.0,,
Metastases - N (%) | Bone | Control,0.75,1.0,1.0,1.0,1.0,1.0
Metastases - N (%) | Bone | Treatment,0.75,,1.0,1.0,1.0,0.0
Metastases - N (%) | Bone | Treatment:,,1.0,,,,
Metastases - N (%) | Liver | Control,1.0,1.0,1.0,1.0,1.0,1.0
Metastases - N (%) | Liver | Treatment,1.0,1.0,1.0,1.0,1.0,1.0
Metastases - N (%) | Lungs | Control,1.0,1.0,1.0,1.0,1.0,1.0
Metastases - N (%) | Lungs | Treatment,1.0,1.0,1.0,1.0,1.0,1.0
Metastases - N (%) | Nodal | Control,1.0,0.0,1.0,1.0,1.0,0.0
Metastases - N (%) | Nodal | Treatment,1.0,0.0,1.0,1.0,1.0,0.0
Mode of metastases - N (%) | Metachronous | Control,1.0,,0.0,0.0,1.0,0.5
Mode of metastases - N (%) | Metachronous | Control:,,1.0,,,,
Mode of metastases - N (%) | Metachronous | Treatment,1.0,,0.0,0.0,1.0,0.5
Mode of metastases - N (%) | Metachronous | Treatment:,,1.0,,,,
Mode of metastases - N (%) | Synchronous | Control,1.0,1.0,0.0,1.0,1.0,0.5
Mode of metastases - N (%) | Synchronous | Treatment,1.0,1.0,0.0,1.0,1.0,0.0
NCT,1.0,1.0,0.0,1.0,1.0,1.0
No. of Deaths - N | Control,1.0,1.0,1.0,,,1.0
No. of Deaths - N | Treatment,1.0,,1.0,,,1.0
No. of Deaths - N | Treatment:,,1.0,,,,
Number of Arms Included,1.0,0.0,0.0,1.0,1.0,0.0
ORR - N (%) | Control | CR,1.0,1.0,1.0,0.0,0.0,1.0
ORR - N (%) | Control | Overall,1.0,1.0,1.0,1.0,1.0,1.0
ORR - N (%) | Control | PD,1.0,1.0,1.0,1.0,1.0,1.0
ORR - N (%) | Control | SD,1.0,1.0,1.0,1.0,1.0,1.0
ORR - N (%) | Treatment | CR,1.0,1.0,1.0,0.0,0.0,1.0
ORR - N (%) | Treatment | Overall,1.0,1.0,1.0,1.0,1.0,1.0
ORR - N (%) | Treatment | PD,1.0,1.0,1.0,1.0,1.0,1.0
ORR - N (%) | Treatment | SD,1.0,1.0,1.0,1.0,1.0,1.0
OS Rate (%) | High volume | Control,1.0,1.0,0.0,1.0,1.0,0.0
OS Rate (%) | High volume | Treatment,1.0,1.0,0.0,1.0,1.0,0.0
OS Rate (%) | Low volume | Control,1.0,1.0,0.0,1.0,1.0,0.0
OS Rate (%) | Low volume | Treatment,1.0,1.0,0.0,1.0,1.0,0.0
OS Rate (%) | Metachronous | Control,1.0,1.0,1.0,1.0,1.0,1.0
OS Rate (%) | Metachronous | Treatment,1.0,1.0,1.0,1.0,1.0,1.0
OS Rate (%) | Overall | Control,1.0,0.0,0.0,1.0,1.0,0.0
OS Rate (%) | Overall | Treatment,1.0,0.0,0.0,1.0,1.0,0.0
OS Rate (%) | Synchronous | Control,1.0,1.0,1.0,1.0,1.0,1.0
OS Rate (%) | Synchronous | Treatment,1.0,1.0,1.0,1.0,1.0,1.0
Original/Follow Up,1.0,1.0,0.0,1.0,1.0,0.0
PFS Rate (%) | Overall | Control,1.0,1.0,0.0,1.0,1.0,1.0
PFS Rate (%) | Overall | Treatment,1.0,0.0,0.0,1.0,1.0,1.0
PS - N (%) | 0 | Control,1.0,0.75,1.0,,0.0,0.0
PS - N (%) | 0 | Treatment,1.0,0.75,1.0,,0.0,0.0
PS - N (%) | 1-2 | Control,1.0,,1.0,,0.0,0.0
PS - N (%) | 1-2 | Control:,,0.75,,,,
PS - N (%) | 1-2 | Treatment,1.0,0.0,1.0,,0.0,0.0
Phase,1.0,0.0,0.0,1.0,1.0,1.0
Previous local therapy - N (%) | Orchiectomy | Control,1.0,0.0,1.0,1.0,1.0,1.0
Previous local therapy - N (%) | Orchiectomy | Treatment,1.0,0.0,1.0,1.0,1.0,1.0
Previous local therapy - N (%) | Prostatectomy | Control,1.0,1.0,1.0,0.0,0.75,1.0
Previous local therapy - N (%) | Prostatectomy | Treatment,1.0,1.0,1.0,0.0,0.75,1.0
Previous local therapy - N (%) | Radiotherapy | Control,1.0,,1.0,0.0,0.75,1.0
Previous local therapy - N (%) | Radiotherapy | Control:,,1.0,,,,
Previous local therapy - N (%) | Radiotherapy | Treatment,1.0,1.0,1.0,0.0,0.75,1.0
Primary Endpoint(s),1.0,1.0,1.0,1.0,0.0,1.0
PubMed ID,1.0,1.0,1.0,1.0,1.0,1.0
Quality of Life Scale,1.0,1.0,1.0,1.0,0.0,0.75
Quality of Life reported,0.0,1.0,0.0,0.0,0.0,0.0
Race - N (%) | Amer. Indian or Alaska Nat. | Control,1.0,1.0,1.0,1.0,1.0,1.0
Race - N (%) | Amer. Indian or Alaska Nat. | Treatment,1.0,1.0,1.0,1.0,1.0,1.0
Race - N (%) | Asian | Control,1.0,,1.0,1.0,1.0,1.0
Race - N (%) | Asian | Control:,,1.0,,,,
Race - N (%) | Asian | Treatment,1.0,,1.0,1.0,1.0,1.0
Race - N (%) | Black or African American | Control,1.0,0.0,1.0,0.0,0.75,1.0
Race - N (%) | Black or African American | Treatment,1.0,1.0,1.0,0.0,0.75,1.0
Race - N (%) | Nat. Hawaiian or Pac. Islander | Control,1.0,0.0,1.0,1.0,1.0,1.0
Race - N (%) | Nat. Hawaiian or Pac. Islander | Treatment,1.0,1.0,1.0,1.0,1.0,1.0
Race - N (%) | Other | Control,1.0,1.0,1.0,0.0,0.75,1.0
Race - N (%) | Other | Treatment,1.0,1.0,1.0,0.0,0.75,1.0
Race - N (%) | Unknown | Control,1.0,,1.0,0.0,0.75,1.0
Race - N (%) | Unknown | Treatment,1.0,1.0,1.0,0.0,0.75,1.0
Race - N (%) | White | Control,1.0,1.0,1.0,0.0,0.75,1.0
Race - N (%) | White | Treatment,1.0,,1.0,0.0,0.75,1.0
Region - N (%) | Africa | Control,,1.0,1.0,1.0,1.0,
Region - N (%) | Africa | Treatment,1.0,0.0,1.0,1.0,1.0,
Region - N (%) | Asia | Control,1.0,,1.0,1.0,1.0,0.0
Region - N (%) | Asia | Control:,,1.0,,,,
Region - N (%) | Asia | Treatment,,1.0,1.0,1.0,1.0,0.0
Region - N (%) | Europe | Control,,0.0,1.0,1.0,1.0,
Region - N (%) | Europe | Treatment,0.0,0.0,1.0,1.0,1.0,1.0
Region - N (%) | North America | Control,,,1.0,1.0,1.0,0.0
Region - N (%) | North America | Control:,,1.0,,,,
Region - N (%) | North America | Treatment,,,1.0,1.0,1.0,0.0
Region - N (%) | North America | Treatment:,,1.0,,,,
Region - N (%) | Oceania | Control,1.0,1.0,1.0,1.0,1.0,
Region - N (%) | Oceania | Treatment,1.0,1.0,1.0,1.0,1.0,1.0
Region - N (%) | South America | Control,,,1.0,1.0,1.0,
Region - N (%) | South America | Treatment,1.0,1.0,1.0,1.0,1.0,
Reporting by prognostic groups - Y/N | High volume,1.0,1.0,0.0,1.0,1.0,1.0
Reporting by prognostic groups - Y/N | Low volume,1.0,1.0,0.0,1.0,1.0,1.0
Reporting by prognostic groups - Y/N | Metachronous,1.0,0.0,0.0,0.0,1.0,1.0
Reporting by prognostic groups - Y/N | Synchronous,1.0,0.0,0.0,0.0,1.0,1.0
Secondary Endpoint(s),0.75,0.75,1.0,0.5,0.0,1.0
TTPSA (mo) | Control,0.0,1.0,1.0,0.0,0.0,1.0
TTPSA (mo) | Treatment,0.0,1.0,1.0,0.0,0.0,1.0
Total Participants - N,1.0,0.5,,1.0,1.0,1.0
Treatment Arm - N,1.0,0.75,0.75,0.75,0.75,1.0
Treatment Arm 1 Regimen,1.0,1.0,0.25,0.75,0.0,0.75
Treatment Arm(s),0.75,1.0,0.75,0.75,0.0,1.0
Treatment Class,0.5,1.0,0.0,0.5,0.0,0.0
Trial,1.0,0.75,0.75,0.5,0.0,1.0
Trial Name,0.0,0.0,0.0,0.0,0.0,0.0
Type of Therapy,0.5,0.25,0.5,0.75,0.0,0.5
Volume of disease - N (%) | High | Control,1.0,,0.75,1.0,1.0,0.75
Volume of disease - N (%) | High | Treatment,1.0,1.0,0.75,1.0,1.0,0.75
Volume of disease - N (%) | Low | Control,1.0,1.0,0.75,0.0,1.0,0.75
Year,1.0,1.0,0.0,1.0,1.0,1.0
