Trial,avg_correctness,avg_completeness,avg_overall,total_columns,exact_match_overall,exact_match_count,numeric_tolerance_overall,numeric_tolerance_count,structured_text_overall,structured_text_count
NCT00104715_Gravis_GETUG_EU'15,0.8909774436090225,0.8508270676691729,0.8709022556390977,133,0.7857142857142857,14,0.8932710280373831,107,0.7708333333333334,12
NCT00268476_Attard_STAMPEDE_Lancet'23,0.7781954887218046,0.7105263157894737,0.7443609022556391,133,0.5714285714285714,14,0.7663551401869159,107,0.75,12
NCT00268476_James_STAMPEDE_IJC'22,0.7255639097744361,0.6942105263157895,0.7098872180451128,133,0.07142857142857142,14,0.8029439252336449,107,0.625,12
NCT00309985_Kriayako_CHAARTED_JCO'18,0.6842105263157895,0.6778947368421052,0.6810526315789474,133,0.6428571428571429,14,0.69,107,0.6458333333333334,12
NCT00309985_Sweeney_CHAARTED_NEJM'15,0.7969924812030075,0.7330827067669173,0.7650375939849624,133,0.7857142857142857,14,0.8481308411214953,107,0.0,12
NCT02799602_Hussain_ARASENS_JCO'23,0.6954887218045113,0.6729323308270677,0.6842105263157895,133,0.7142857142857143,14,0.6658878504672897,107,0.8125,12
